CREATE_FOLDER_____,CREATE_THREAD_____,DEVICE_ACCESS_____,FS_ACCESS____,FS_ACCESS(CREATE)____,FS_ACCESS(READ)____,__arm_nr_set_tls,_llseek,access,clock_gettime,clone,close,epoll_wait,fcntl64,fstat64,getpid,getpriority,gettid,gettimeofday,getuid32,ioctl,lseek,lstat64,madvise,mkdir,mmap2,mprotect,munmap,open,prctl,pread64,pwrite64,read,recvfrom,setpriority,sigaltstack,sigprocmask,stat64,write,writev,Class
3,52,25,117,24,38,53,15,484,1335,52,370,260,803,553,208,109,217,786,206,816,37,93,270,5,239,298,102,227,137,230,30,737,19,55,70,41,327,279,1559,3
14,78,211,327,42,1398,88,390,264,16722,78,2116,3100,1014,1508,507,227,375,1448,558,1470,915,118,1589,27,1720,3051,526,2050,287,208,84,3990,55,92,117,261,404,2146,323,1
4,23,4,26,7,26,25,48,30,638,23,214,106,28,54,114,101,54,408,133,357,14,10,191,8,185,333,78,77,109,33,0,137,74,22,33,147,41,204,38,0
3,22,2,2,2,9,22,6,14,205,22,48,71,15,13,67,50,57,44,111,266,10,7,85,3,83,113,29,28,104,2,0,209,0,28,28,6,35,120,15,1
19,36,19,60,14,36,36,6,141,606,36,151,131,307,241,128,67,71,247,137,391,8,32,226,26,217,2336,91,155,151,70,121,141,15,45,43,24,128,286,58,4
7,19,40,70,18,76,20,111,88,824,19,200,129,350,235,131,73,42,225,146,414,126,25,299,8,368,1572,187,227,132,150,121,296,54,19,28,252,145,332,152,4
3,9,2,3,3,8,9,6,8,54,9,20,12,5,10,15,18,23,4,29,49,8,5,37,3,58,50,28,26,91,24,0,18,0,6,10,41,21,36,3,2
7,46,40,141,23,766,49,54,147,6384,46,1111,1234,630,1024,400,62,284,760,403,406,3374,64,429,11,497,554,165,996,146,165,57,2862,115,41,54,133,199,728,50,1
3,12,3,16,3,16,12,52,15,408,12,42,58,7,33,48,38,27,7,60,189,14,6,105,3,101,281,40,49,95,20,0,95,44,9,16,145,29,91,18,2
11,72,17,58,32,1007,72,9,291,23561,72,1256,4047,392,1294,1442,152,358,1089,1425,1355,84,147,457,13,509,1203,326,1174,186,1741,22,3557,1034,96,101,802,238,1509,209,0
3,18,2,15,3,14,18,6,22,10577,18,65,1749,13,20,1148,77,35,210,1162,908,8,6,165,3,155,269,84,45,101,48,0,622,787,15,25,318,54,837,50,2
0,9,2,3,1,8,9,6,3,166,9,18,9,5,6,14,22,24,7,31,60,8,3,41,0,85,166,55,22,93,49,0,19,0,6,10,125,27,43,9,0
0,8,2,4,1,9,8,6,3,16,8,19,4,5,6,9,15,21,3,19,31,10,3,29,0,32,56,2,24,90,1,0,592,0,5,8,0,11,29,4,1
0,11,2,4,1,10,11,6,11,56,11,24,10,9,15,24,16,29,17,30,70,8,5,49,0,41,105,5,27,93,1,0,20,0,9,12,1,35,26,129,3
3,9,2,3,3,8,9,6,12,59,9,22,12,5,14,15,18,23,6,29,49,8,7,36,3,58,55,28,28,91,24,0,18,0,6,10,41,25,38,3,2
2,8,2,4,2,9,8,6,3,16,8,20,2,5,7,8,15,21,3,18,30,8,3,33,2,36,42,3,25,90,1,0,17,0,5,8,0,9,28,6,3
4,23,3,16,4,15,23,6,40,328,23,62,42,31,46,51,41,49,35,57,136,8,12,135,4,151,224,82,55,109,35,0,48,33,26,35,186,62,84,19,0
15,67,57,97,22,956,68,54,231,104532,67,1189,17446,468,1176,14585,148,470,3210,14604,4398,222,70,593,19,579,782,277,1186,205,80,95,4371,3208,78,90,197,206,2621,124,3
3,12,2,16,3,14,12,6,12,1677,12,56,344,11,17,253,59,26,210,270,544,8,4,92,3,106,180,47,44,94,22,0,135,357,9,16,168,40,296,17,2
3,9,2,3,3,8,9,6,12,59,9,22,12,5,14,15,18,23,6,29,48,8,7,36,3,58,56,28,28,91,24,0,18,0,6,10,41,25,38,3,2
