getInstallerPackageName,_newselect,mprotect,getPackageInfo,CREATE_FOLDER_____,mkdir,pread64,munmap,statfs64,getActivityInfo,FS_ACCESS(READ)____,getApplicationInfo,rename,access,gettid,queryIntentServices,NETWORK_ACCESS____,stat64,open,lstat64,Class
0,0,298,4,3,5,230,102,2,0,38,5,6,484,217,0,29,327,227,93,3
0,0,3051,11,14,27,208,526,13,4,1398,7,12,264,375,1,22,404,2050,118,1
0,0,333,6,4,8,33,78,0,0,26,5,2,30,54,0,3,41,77,10,0
0,0,113,2,3,3,2,29,0,0,9,0,1,14,57,0,0,35,28,7,1
1,9,2336,11,19,26,70,91,3,0,36,13,6,141,71,0,2,128,155,32,4
1,3,1572,20,7,8,150,187,2,2,76,5,7,88,42,0,1,145,227,25,4
0,0,50,1,3,3,24,28,0,0,8,0,1,8,23,0,0,21,26,5,2
0,0,554,7,7,11,165,165,4,1,766,1,2,147,284,0,10,199,996,64,1
0,0,281,1,3,3,20,40,0,0,16,0,1,15,27,0,0,29,49,6,2
0,0,1203,21,11,13,1741,326,1,2,1007,26,16,291,358,1,11,238,1174,147,0
0,0,269,1,3,3,48,84,0,0,14,0,2,22,35,0,0,54,45,6,2
0,0,166,1,0,0,49,55,0,2,8,0,0,3,24,0,0,27,22,3,0
0,0,56,1,0,0,1,2,0,0,9,0,0,3,21,0,0,11,24,3,1
0,0,105,1,0,0,1,5,0,0,10,3,2,11,29,0,3,35,27,5,3
0,0,55,1,3,3,24,28,0,0,8,0,3,12,23,0,0,25,28,7,2
0,0,42,1,2,2,1,3,0,0,9,0,0,3,21,0,0,9,25,3,3
0,0,224,3,4,4,35,82,0,0,15,1,2,40,49,0,0,62,55,12,0
0,0,782,40,15,19,80,277,2,0,956,4,17,231,470,0,16,206,1186,70,3
0,0,180,1,3,3,22,47,0,0,14,0,0,12,26,0,0,40,44,4,2
0,0,56,1,3,3,24,28,0,0,8,0,3,12,23,0,1,25,28,7,2
2,21,1432,34,12,18,447,475,6,3,68,27,39,338,169,1,5,346,344,63,4
0,0,710,4,10,12,25,719,1,2,70,2,1,48,402,0,8,83,176,24,1
0,0,2879,11,29,48,538,564,10,0,375,18,26,691,296,0,34,718,1137,143,3
0,0,555,75,0,6,589,472,8,0,48,5,2,514,164,0,6,644,567,42,3
0,0,466,3,5,5,29,192,0,2,987,1,1,22,315,0,10,55,1095,13,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,84,2,2,2,6,13,0,0,14,0,0,5,29,0,0,19,42,3,1
15,26,791,31,6,6,402,374,1,5,33,12,2,150,215,0,8,256,203,13,4
0,0,440,1,11,12,6,63,1,0,64,1,0,22,31,0,7,42,136,15,3
0,0,179,2,2,2,31,45,0,0,35,0,0,9,37,0,0,21,61,3,2
0,0,295,3,5,5,6,155,0,1,748,1,2,44,496,0,10,73,861,25,3
0,0,215,1,4,4,14,32,0,0,18,0,0,16,22011,9,1,69,38,4,1
0,0,325,8,7,9,54,113,0,0,30,11,5,63,53,0,0,74,79,25,0
0,0,55,1,3,3,24,28,0,0,8,0,3,12,23,0,0,25,28,7,2
0,0,88,1,0,2,74,50,1,0,10,0,0,80,21,0,0,90,99,16,3
0,0,186,1,4,4,259,54,1,0,17,0,0,192,33,0,0,259,178,4,2
0,0,228,2,2,8,45,73,0,3,16,0,0,5,28,0,0,25,59,3,3
3,5,897,102,17,20,439,492,4,4,687,10,33,427,288,3,12,603,1049,54,4
0,0,5726,3,3,3,9,27,0,0,18,1,0,12,36,0,0,16,44,5,4
0,0,170,1,3,3,5,18,0,0,16,0,0,8,33,0,0,74,40,4,1
0,0,318,3,5,5,31,93,0,5,932,1,2,46,538,0,11,88,1035,28,3
0,0,295,3,5,5,27,72,0,4,635,1,3,50,302,0,10,83,708,30,1
0,0,238,9,7,9,32,118,0,0,15,13,3,66,63,0,0,70,63,19,0
0,0,328,1,4,5,6,55,1,0,64,0,0,12,31,0,0,52,139,14,1
0,0,492,75,0,6,381,430,8,0,56,4,0,339,153,0,6,443,460,30,3
1,14,713,6,10,11,12,66,3,0,55,6,16,130,52,0,2,62,148,25,4
0,0,55,1,3,3,24,28,0,0,8,0,3,12,23,0,0,25,28,7,2
0,0,96,2,3,3,19,32,0,0,10,0,3,17,26,0,0,37,33,8,2
0,0,108,2,0,2,26,29,0,0,10,0,0,11,22,0,0,22,33,16,3
1,6,1596,17,8,8,351,375,1,1,41,5,7,168,222,0,9,273,244,21,4
3,24,1009,20,14,15,477,404,4,7,72,23,49,450,77,3,5,446,526,68,4
3,32,1032,298,14,16,525,727,4,4,153,12,46,611,149,0,5,845,475,61,4
0,0,419,3,6,6,19,129,0,1,709,1,7,39,292,0,11,72,798,20,2
0,0,243,4,5,5,43,112,0,0,15,10,5,64,62,0,0,64,63,20,0
0,0,90,1,2,2,21,29,0,0,14,0,0,7,24,0,0,16,34,3,2
0,0,249,1,2,2,43,63,0,0,15,0,0,5,31,0,0,31,44,3,2
0,0,509,2,3,3,18,40,0,0,25,2,0,11,32,0,0,27,59,7,0
0,0,59,1,0,1,88,52,1,0,10,1,0,92,21,0,0,104,113,15,3
0,0,67,1,0,0,2,3,0,0,8,0,0,3,21,0,0,15,22,3,3
0,0,56,1,3,3,24,28,0,0,8,0,3,12,23,0,0,25,28,7,2
1,10,634,25,10,11,170,260,2,5,537,7,4,149,518,0,11,239,777,28,4
0,0,413,3,5,5,28,180,0,1,762,1,1,22,301,0,11,48,870,13,2
0,0,54,1,3,3,24,28,0,0,8,0,3,12,23,0,0,25,28,7,2
0,0,2659,1,3,3,7,20,0,0,18,0,0,6,31,0,0,19,42,3,4
0,0,38,1,2,2,1,5,0,0,8,0,0,5,22,1,0,10,23,3,4
0,0,55,1,3,3,24,28,0,0,8,0,3,12,23,0,0,25,28,7,2
0,24,282,4,5,7,46,125,0,0,25,9,6,61,72,0,0,56,101,21,0
0,0,881,3,5,5,19,115,0,1,803,1,1,22,281,0,10,38,888,13,2
2,8,300,8,5,5,249,163,1,0,29,7,18,233,37,3,2,290,325,24,4
0,0,198,1,3,3,20,40,0,0,16,0,1,15,27,0,0,29,49,6,2
0,0,307,11,6,6,204,143,1,1,61,15,7,194,68,0,5,237,289,19,0
2,17,558,13,8,11,283,208,3,0,65,19,43,340,63,3,5,425,473,52,4
0,0,328,1,4,5,6,55,1,0,64,0,0,12,31,0,0,52,139,14,1
0,0,22,1,0,1,2,3,0,0,9,1,0,8,21,0,0,17,27,15,3
0,0,183,2,2,2,32,46,0,0,35,0,0,9,28,0,0,25,61,3,2
0,0,125,2,2,2,31,42,0,0,14,0,0,9,29,0,0,21,35,3,2
0,0,170,10,1,1,31,19,1,0,12,2,1,43,29,0,0,52,58,4,3
0,0,418,3,5,5,19,127,0,1,781,1,1,22,281,0,10,46,866,13,2
0,0,554,6,2,3,49,129,2,0,36,4,0,93,223,0,8,73,93,30,3
0,0,154,1,2,2,15,25,0,0,15,0,0,5,27,0,0,21,37,3,2
0,0,312,15,10,12,13,122,0,1,703,6,5,92,305,0,13,87,803,45,0
0,3,429,3,7,7,104,29,1,3,15,1,2,100,201,11,9,149,107,15,3
0,0,428,3,5,5,19,141,0,1,770,1,1,22,290,0,10,48,857,13,2
0,0,87,1,3,3,20,27,0,0,10,0,3,12,24,0,0,33,32,7,2
0,0,614,4,3,4,104,166,2,0,77,3,8,488,209,0,25,222,249,100,3
1,0,529,6,7,7,48,298,0,1,1587,1,4,57,935,0,11,125,1746,34,4
0,0,51,1,3,3,24,28,0,0,8,0,1,8,23,0,0,21,26,5,2
0,0,267,1,2,2,18,22,0,0,14,0,0,5,30,0,0,17,42,3,2
0,0,348,2,3,3,18,40,0,0,25,2,0,11,32,0,0,27,59,7,0
0,0,50,1,3,3,24,28,0,0,8,0,1,8,23,0,0,21,26,5,2
0,0,403,1,3,3,6,74,0,0,21,0,4,16,40,0,0,37,50,8,1
1,4,4155,23,0,3,350,518,2,0,276,26,2,325,113,0,1,421,598,11,4
0,0,662,4,6,12,56,114,7,1,103,2,9,91,209,0,8,112,287,39,3
0,0,1220,9,9,9,383,478,1,11,66,1,11,282,253,0,9,289,471,25,3
0,0,33,1,0,0,3,3,0,0,8,0,0,3,21,0,0,15,22,3,3
0,0,364,3,6,6,80,231,0,1,965,1,1,51,1367,0,10,154,1182,19,3
0,0,270,3,3,3,41,267,0,1,63,2,2,47,630,0,11,70,289,16,0
0,0,873,3,7,8,51,116,1,0,66,1,11,44,30,0,0,68,166,27,3
0,0,54,1,3,3,24,28,0,0,8,0,3,12,23,0,0,25,28,7,2
0,0,77,3,3,3,2,3,0,1,8,0,0,5,31,0,0,15,24,3,1
